sizes	no_filter_forward	no_filter_backward	no_filter_inference	flex_filter_forward	flex_filter_backward	flex_filter_inference	const_filter_forward	const_filter_backward	const_filter_inference
363	0.229356	0.140279	0.149026	0.0910583	0.00198078	0.0936542	0.167803	0.0875731	0.174361
328	0.226125	0.152805	0.240717	0.162288	0.00188589	0.161967	0.150847	0.00312328	0.148778
432	0.192755	0.236208	0.21488	0.123941	0.00225949	0.126995	0.114625	0.00177932	0.116574
290	0.170757	0.122319	0.173293	0.123022	0.0018146	0.125556	0.140881	0.0300527	0.144984
390	0.473135	0.360821	0.499034	0.337473	0.00215197	0.341131	0.404167	0.126565	0.4182
487	0.312894	0.316718	0.272264	0.179478	0.00246906	0.179811	0.172574	0.0088315	0.167944
336	0.260165	0.165123	0.264775	0.167305	0.00195265	0.168936	0.271214	0.137282	0.284363
410	0.348346	0.382315	0.338949	0.209403	0.00221634	0.211632	0.199251	0.00380611	0.196293
356	0.211238	0.152529	0.23047	0.150879	0.00200891	0.153383	0.139688	0.00168872	0.140145
394	0.23085	0.230796	0.25552	0.140123	0.00212789	0.139564	0.128181	0.00449038	0.134166
337	0.179332	0.136458	0.204039	0.114254	0.00201607	0.11387	0.130882	0.0258195	0.136196
337	0.212095	0.156477	0.229905	0.158838	0.00194502	0.161724	0.150227	0.00454259	0.152981
412	0.411539	0.395238	0.425881	0.270394	0.0021472	0.275066	0.506687	0.360398	0.524488
419	0.403871	0.450379	0.407681	0.282212	0.00229454	0.282445	0.273687	0.00351787	0.265972
429	0.256758	0.287027	0.278289	0.168815	0.00225306	0.16838	0.15309	0.00181007	0.156133
337	0.173721	0.114667	0.133098	0.0918958	0.00188732	0.0941539	0.0858757	0.0015769	0.0891814
294	0.199692	0.121272	0.183941	0.140032	0.00180745	0.143272	0.127578	0.00153756	0.132445
397	0.262568	0.194363	0.270863	0.196372	0.00351787	0.197294	0.184542	0.00758386	0.188679
412	0.252783	0.176979	0.238976	0.175543	0.00215149	0.180776	0.161407	0.0019412	0.165312
480	0.443438	0.564727	0.4753	0.29476	0.00244784	0.298636	0.270721	0.00199437	0.268508
411	0.261416	0.204477	0.245391	0.154709	0.00216389	0.160578	0.148426	0.00593734	0.15158
405	0.161027	0.120669	0.165735	0.108514	0.00214505	0.111541	0.102068	0.00188375	0.102633
354	0.149617	0.124456	0.160035	0.0988498	0.00196195	0.101293	0.0916789	0.00169826	0.0950155
315	0.203071	0.12092	0.206578	0.130363	0.00185299	0.132712	0.125364	0.00603724	0.130656
426	0.290528	0.249214	0.292677	0.184377	0.00220108	0.186275	0.188055	0.0214772	0.193304
402	0.272933	0.18247	0.213884	0.13173	0.00214386	0.135212	0.123401	0.00221252	0.125942
363	0.240439	0.173961	0.245682	0.144236	0.00199914	0.148428	0.13504	0.00171137	0.13796
369	0.153706	0.0813096	0.135618	0.0985725	0.0019753	0.101448	0.0940602	0.00169563	0.0961893
347	0.207309	0.145703	0.200682	0.148497	0.00196004	0.151206	0.23152	0.103286	0.237592
410	0.278254	0.242288	0.284579	0.188511	0.00217342	0.190003	0.189195	0.010294	0.188712
398	0.338526	0.266418	0.309176	0.211949	0.00219846	0.214956	0.194205	0.00193739	0.201218
477	0.34235	0.333394	0.326748	0.225453	0.00244331	0.228323	0.207331	0.00195241	0.207806
394	0.184985	0.121237	0.175576	0.132976	0.00211358	0.138988	0.15204	0.0280867	0.157114
410	0.158986	0.143798	0.162166	0.103123	0.00216174	0.108859	0.0974724	0.00303864	0.0982265
335	0.141367	0.0790272	0.145483	0.110645	0.00192022	0.113684	0.101712	0.00186181	0.105204
391	0.29845	0.245464	0.315156	0.222788	0.00214076	0.226012	0.208546	0.00206494	0.208099
450	0.356408	0.337264	0.358452	0.259048	0.00233436	0.262038	0.237497	0.00223637	0.240632
463	0.553151	0.681975	0.583117	0.362095	0.0023644	0.367072	0.680221	0.515341	0.693653
538	0.330372	0.464125	0.344724	0.202702	0.00369	0.203043	0.227273	0.0178013	0.207055
386	0.128008	0.0749443	0.11314	0.0791085	0.00202894	0.0814762	0.0738623	0.00197291	0.0758023
311	0.1678	0.0934694	0.167683	0.124432	0.00177979	0.12725	0.123492	0.00552249	0.125711
415	0.212352	0.188958	0.218608	0.150109	0.0022397	0.153591	0.141887	0.00187135	0.141984
215	0.0457833	0.0221877	0.0398858	0.0284064	0.00128508	0.0285161	0.0477126	0.0196822	0.0517919
225	0.0255044	0.00962019	0.0250325	0.0201325	0.00134993	0.0203419	0.0199382	0.00179505	0.0196052
258	0.0327284	0.0169075	0.0327177	0.0234251	0.00131226	0.0229831	0.0197804	0.00122666	0.0245321
273	0.0463195	0.0272622	0.0494568	0.0375097	0.00142169	0.0386453	0.0373609	0.00128245	0.0348246
281	0.0433156	0.0208523	0.0426431	0.0319972	0.00135708	0.0316596	0.0387285	0.0101771	0.0425336
325	0.0304081	0.0203292	0.0298038	0.019536	0.00135565	0.0192335	0.0351484	0.0148129	0.0375931
249	0.050112	0.0346475	0.0537765	0.0348005	0.00139046	0.0345564	0.0499554	0.0171726	0.0538247
254	0.0296671	0.0104322	0.0285344	0.0220978	0.00121331	0.0219877	0.0226831	0.00276899	0.0232909
332	0.0480452	0.0268304	0.0490253	0.0346339	0.0013926	0.0342491	0.0549557	0.0220139	0.0598059
339	0.083288	0.0612316	0.0826929	0.0607414	0.00149941	0.0605495	0.0587547	0.00205588	0.0599852
340	0.0300169	0.0155602	0.0315304	0.0207853	0.00140595	0.020514	0.0205972	0.00127673	0.0228019
321	0.0413387	0.0252681	0.0420718	0.0306685	0.00148058	0.0334301	0.0299706	0.00132346	0.0324295
323	0.056618	0.0303602	0.0562527	0.0471926	0.00144196	0.0467727	0.0619197	0.0195584	0.0663431
348	0.0807707	0.0511456	0.0829887	0.0617583	0.00145364	0.0614493	0.058589	0.00186944	0.0599568
385	0.0405626	0.0208902	0.0363467	0.0272391	0.00150228	0.0297503	0.0339963	0.00333071	0.0321834
408	0.03351	0.0253518	0.0351045	0.0214658	0.0014801	0.024595	0.0405843	0.0168669	0.0443931
335	0.0313389	0.018388	0.0321789	0.0236411	0.0015161	0.0262892	0.0350375	0.00979805	0.0382349
370	0.0280571	0.0125694	0.0283339	0.0252128	0.00143504	0.0251727	0.0228086	0.00140786	0.0246644
390	0.055301	0.0432994	0.057488	0.0385313	0.00163889	0.0413458	0.0372083	0.00142074	0.0397666
342	0.0549669	0.0229299	0.0542922	0.047097	0.00148249	0.0471349	0.0416565	0.00133538	0.0459135
386	0.0499697	0.0310802	0.0536773	0.0383022	0.00146031	0.0405321	0.0386038	0.00244546	0.0415702
412	0.0672607	0.0487506	0.0709612	0.0491695	0.00162601	0.0515211	0.0596888	0.0120957	0.0628452
411	0.0476725	0.0279706	0.0482645	0.033581	0.00149488	0.0364234	0.0338354	0.00169683	0.0351882
399	0.0401847	0.0284309	0.0425897	0.0300198	0.0015285	0.0297985	0.0392635	0.00928926	0.0422447
343	0.0355763	0.0191898	0.0355723	0.0297313	0.00152206	0.0305893	0.0286	0.00231028	0.0312808
339	0.0561073	0.031919	0.0571325	0.0463843	0.00143123	0.0460761	0.0408354	0.00133538	0.0435827
403	0.0930967	0.0619292	0.0961583	0.072696	0.00159907	0.0753069	0.0821929	0.0134366	0.0859406
426	0.108541	0.085309	0.116392	0.0801251	0.00222468	0.0826867	0.0746	0.0017662	0.0773649
498	0.0812371	0.0574074	0.0822463	0.0566492	0.00167012	0.0565968	0.0501621	0.00144315	0.054534
472	0.0637555	0.0420158	0.0640657	0.0457635	0.00168324	0.0457001	0.0756676	0.0312519	0.0804389
410	0.0578423	0.0368903	0.0594602	0.0420325	0.0016005	0.0444086	0.0701532	0.0276983	0.0734639
421	0.0516288	0.0263183	0.0552292	0.0401309	0.00156641	0.0429466	0.0401659	0.00221252	0.0418565
472	0.0650709	0.0385439	0.0680404	0.0511479	0.0016253	0.0535452	0.0482028	0.00162196	0.0514731
528	0.0976853	0.0643921	0.100979	0.0796678	0.0016911	0.0780027	0.0721128	0.00170135	0.0738127
541	0.0465415	0.0336995	0.0477669	0.0294554	0.00179315	0.0323093	0.0530863	0.0249932	0.0573204
458	0.0670867	0.0478394	0.0706191	0.051065	0.00175166	0.0507843	0.0493157	0.00221014	0.0480773
401	0.0598679	0.0305421	0.0615091	0.0466542	0.00156641	0.0491426	0.0470772	0.00152707	0.047169
508	0.0668056	0.0542583	0.0704849	0.0476332	0.00166607	0.0498376	0.047179	0.00161004	0.047395
463	0.0666871	0.0440547	0.0681643	0.0468385	0.00178576	0.0499282	0.0553646	0.0066278	0.0560164
403	0.0640976	0.0415547	0.0633378	0.0443628	0.00147057	0.0473027	0.0552087	0.0113935	0.059427
445	0.0468414	0.0234251	0.0500185	0.0373378	0.00164795	0.0402136	0.0364659	0.00173593	0.0385041
453	0.0372083	0.0255928	0.038636	0.0254776	0.00159216	0.0283117	0.0417116	0.0141718	0.0452259
381	0.0549154	0.0344524	0.0588317	0.0409701	0.00162792	0.0441129	0.0403533	0.00165987	0.0426207
351	0.0790517	0.0378644	0.0824709	0.0719755	0.00145388	0.068234	0.0623841	0.00131464	0.064882
439	0.0754008	0.0498397	0.0785587	0.0559552	0.00152946	0.058862	0.0528896	0.00135064	0.0557561
494	0.128136	0.0950444	0.131925	0.0912695	0.00162816	0.09179	0.135874	0.0579853	0.142257
529	0.0880461	0.0575023	0.0875916	0.0621591	0.00162911	0.0618508	0.0595331	0.00482726	0.0602686
503	0.0643022	0.0483706	0.0675642	0.0472028	0.00173831	0.0470009	0.0419416	0.00177574	0.0452054
450	0.1338	0.0849359	0.138335	0.101924	0.00171876	0.105674	0.095804	0.0017035	0.098156
489	0.104321	0.0739899	0.105425	0.0731204	0.0015831	0.073174	0.0660548	0.00162315	0.0686538
517	0.233839	0.188334	0.241183	0.17216	0.00173855	0.173265	0.156657	0.00178862	0.163248
583	0.113275	0.0617654	0.11	0.0812588	0.00171781	0.0815289	0.1057	0.0296092	0.111676
611	0.164786	0.152332	0.168056	0.110178	0.00205803	0.113009	0.106101	0.00165439	0.107592
561	0.111248	0.0776637	0.112027	0.0828488	0.00187993	0.0819397	0.0754192	0.00148678	0.0773401
563	0.085439	0.0636699	0.0891626	0.0565779	0.00178146	0.0597031	0.0683081	0.0116291	0.0714111
529	0.113713	0.0770717	0.116651	0.0875287	0.001719	0.0874858	0.0976231	0.0151007	0.101723
559	0.0847633	0.048327	0.0868545	0.0673082	0.00174236	0.0677915	0.0633101	0.00194335	0.063627
572	0.165397	0.124367	0.170587	0.121058	0.00186038	0.123782	0.111539	0.00160027	0.114603
590	0.0803177	0.0609725	0.0812685	0.0542133	0.0017879	0.0545118	0.0559342	0.00554466	0.0586565
545	0.141403	0.123548	0.146416	0.0974798	0.00205159	0.100188	0.0898018	0.00172329	0.0914505
476	0.130787	0.0883446	0.128626	0.0891895	0.00157571	0.0926647	0.106909	0.0220706	0.110348
518	0.0927663	0.0590761	0.0922718	0.0720649	0.00170636	0.0697422	0.0707648	0.00354552	0.0716567
531	0.162994	0.143103	0.169912	0.10949	0.00179052	0.111974	0.178139	0.0873952	0.18433
566	0.231196	0.281589	0.32184	0.152096	0.00179291	0.156497	0.14871	0.00328732	0.147618
593	0.367889	0.279474	0.308454	0.204967	0.00191355	0.206722	0.189183	0.00182629	0.192447
637	0.0948925	0.0771382	0.0969315	0.049067	0.0018425	0.0514281	0.0481544	0.00186253	0.0502317
547	0.219123	0.206415	0.203493	0.117462	0.00194883	0.120138	0.135752	0.024229	0.141105
479	0.0849998	0.0413427	0.0785289	0.0583284	0.00158548	0.0610445	0.0568395	0.00233793	0.057667
544	0.216406	0.175877	0.221341	0.151669	0.00175023	0.151785	0.139889	0.00175142	0.147277
562	0.215962	0.168541	0.223593	0.144132	0.00182629	0.147104	0.133979	0.00153089	0.140314
600	0.222279	0.184269	0.227497	0.157373	0.00187087	0.160904	0.290058	0.172388	0.302126
604	0.155678	0.114645	0.160329	0.109195	0.00190663	0.112172	0.112595	0.00338602	0.110646
557	0.251974	0.212433	0.278717	0.177704	0.00183558	0.180022	0.210827	0.047416	0.21307
621	0.106136	0.0638278	0.0921042	0.060972	0.00178123	0.0607746	0.0580671	0.00302911	0.0579498
598	0.319036	0.256495	0.296537	0.193588	0.00206852	0.19575	0.182437	0.00211763	0.182333
553	0.167054	0.120041	0.16489	0.111957	0.00165439	0.110361	0.10159	0.00171423	0.105139
618	0.190847	0.16966	0.200686	0.122644	0.00181317	0.124155	0.146773	0.0310507	0.153952
619	0.157082	0.15764	0.155563	0.0900707	0.00190425	0.0923233	0.157539	0.0843034	0.160101
553	0.108384	0.0847194	0.106893	0.0663173	0.00185156	0.0698988	0.0698113	0.00305843	0.0676105
509	0.165347	0.109483	0.164356	0.11811	0.00164652	0.12037	0.108982	0.00143147	0.111682
612	0.239857	0.177669	0.256092	0.157344	0.0017271	0.156863	0.143693	0.00150275	0.148482
680	0.144417	0.099556	0.150857	0.0947909	0.00196362	0.0975833	0.165787	0.0748765	0.180917
664	0.121317	0.103074	0.127624	0.0706158	0.00194716	0.0732865	0.122835	0.0544569	0.124671
568	0.188039	0.155254	0.181344	0.121865	0.00196505	0.123426	0.185034	0.0745122	0.199476
503	0.135402	0.0813208	0.137811	0.103182	0.00165296	0.106494	0.118723	0.00336599	0.104186
610	0.115659	0.0851533	0.120669	0.0809338	0.00179267	0.0827959	0.0905581	0.0132284	0.0947423
626	0.240214	0.191552	0.221314	0.145848	0.00189328	0.149466	0.137928	0.00198483	0.139554
593	0.217536	0.175889	0.221173	0.147763	0.00184488	0.150712	0.271132	0.150082	0.28042
602	0.176938	0.13657	0.178515	0.121307	0.00187945	0.121835	0.228287	0.124448	0.231159
631	0.153251	0.127961	0.159952	0.10466	0.00186086	0.108425	0.128913	0.0224411	0.125351
589	0.126157	0.102551	0.125408	0.0805075	0.00182819	0.0824018	0.0773714	0.00219178	0.0803473
535	0.15161	0.103917	0.150419	0.107869	0.0017755	0.108419	0.141844	0.0417087	0.151344
596	0.19773	0.12068	0.184834	0.130728	0.00172424	0.131712	0.215383	0.106901	0.218651
651	0.196261	0.155593	0.232928	0.147197	0.00204587	0.149303	0.147789	0.003227	0.141824
712	0.175747	0.113971	0.143934	0.0828662	0.00187325	0.0852201	0.0790541	0.00157928	0.0814092
668	0.308928	0.340505	0.324664	0.201164	0.00213265	0.204577	0.316887	0.150412	0.325769
638	0.353791	0.242285	0.412929	0.269494	0.00172353	0.273418	0.262105	0.00770926	0.262874
801	0.293996	0.276077	0.295795	0.187111	0.00208974	0.191198	0.178341	0.00188088	0.177892
763	0.493575	0.597409	0.496788	0.317757	0.00244784	0.315554	0.291447	0.00196385	0.294755
695	0.195913	0.131669	0.190546	0.112832	0.00187826	0.116713	0.180445	0.0777931	0.185555
692	0.305033	0.246304	0.321254	0.213478	0.00225139	0.216376	0.209645	0.00324559	0.206784
705	0.193217	0.154912	0.188859	0.116344	0.00200772	0.117896	0.109787	0.00165677	0.117178
672	0.202577	0.161106	0.224683	0.122782	0.00208759	0.125743	0.231234	0.132669	0.242537
628	0.206942	0.145524	0.212118	0.152236	0.00189233	0.155505	0.151388	0.00329757	0.150009
701	0.324532	0.268075	0.333494	0.230156	0.0018301	0.23167	0.328402	0.140847	0.340883
753	0.2677	0.185	0.256281	0.18707	0.00217724	0.189676	0.18755	0.00391269	0.184824
775	0.197516	0.153397	0.196593	0.134956	0.0021615	0.137566	0.127562	0.00219226	0.130394
707	0.182627	0.16152	0.180365	0.110167	0.00230241	0.113168	0.104583	0.00222659	0.106569
592	0.244981	0.176845	0.250985	0.169762	0.00189328	0.171447	0.294063	0.162905	0.300537
646	0.177596	0.103121	0.206425	0.127809	0.00184345	0.129957	0.128653	0.00328612	0.12642
755	0.436669	0.385122	0.42699	0.275473	0.00452828	0.278155	0.257636	0.00170255	0.263758
842	0.332175	0.329705	0.334469	0.217528	0.00217104	0.22568	0.203582	0.00178266	0.206999
809	0.389888	0.381603	0.406308	0.222999	0.0024817	0.221615	0.423317	0.290726	0.445473
763	0.294245	0.208361	0.250973	0.149971	0.00213718	0.153101	0.155749	0.00352359	0.152262
719	0.184498	0.169563	0.183191	0.102305	0.00209594	0.105703	0.216815	0.135034	0.223658
626	0.22407	0.164725	0.231104	0.158822	0.00197864	0.160622	0.159457	0.00342131	0.156239
698	0.168074	0.0733109	0.146168	0.104761	0.00183129	0.106964	0.123966	0.0186162	0.127136
771	0.276331	0.263493	0.28882	0.162098	0.00225019	0.165507	0.154623	0.00220013	0.155982
717	0.254191	0.164539	0.233009	0.158916	0.00209785	0.162383	0.151077	0.00172424	0.156396
680	0.214041	0.148791	0.192538	0.124492	0.0020113	0.128145	0.118039	0.00249624	0.122699
684	0.218416	0.135431	0.20103	0.143156	0.00205588	0.146563	0.167802	0.0172212	0.157532
710	0.245047	0.179936	0.25128	0.181169	0.0019443	0.18358	0.227487	0.0554998	0.230508
747	0.2674	0.193199	0.277367	0.195906	0.00212121	0.199715	0.330767	0.166801	0.335921
815	0.267967	0.206913	0.2592	0.17416	0.00207233	0.179538	0.173313	0.0026238	0.174489
804	0.338211	0.365903	0.368598	0.216762	0.00238228	0.21846	0.208257	0.00188518	0.206239
766	0.185654	0.163827	0.187997	0.111331	0.00206447	0.113376	0.191793	0.092768	0.198418
700	0.172009	0.13307	0.173706	0.12304	0.00213814	0.123229	0.123907	0.00325012	0.120166
692	0.203265	0.114625	0.216459	0.16191	0.00195646	0.162388	0.237233	0.0949922	0.246598
778	0.269773	0.155032	0.243669	0.188809	0.00214314	0.189543	0.265575	0.0905626	0.265688
843	0.509505	0.529827	0.571089	0.338739	0.00230956	0.336768	0.32111	0.00333142	0.318349
