Graph size,Flexible forward,Constant forward,Flexible backward,Constant backward
1021.0,0.282997,0.00600147,0.295081,0.459997
982.0,0.282999,0.00500011,0.299,0.593001
1028.0,0.159997,0.00700116,0.164999,0.333999
999.0,0.269003,0.0119987,0.252003,0.345002
948.0,0.307002,0.00599861,0.30887,0.290999
941.0,0.274999,0.00500083,0.278,0.271998
896.0,0.233021,0.00499916,0.244,0.230001
948.0,0.308003,0.0079987,0.297031,0.310002
970.0,0.459811,0.00500202,0.460056,1.249
1029.0,0.173004,0.00600052,0.193011,0.224996
985.0,0.274033,0.00500178,0.275029,0.272
973.0,0.256019,0.0040009,0.257999,0.603998
955.0,0.350039,0.006001,0.333201,0.623997
919.0,0.298036,0.00499797,0.308107,0.320997
983.0,0.337204,0.00599599,0.368002,0.463001
989.0,0.287996,0.00599957,0.288001,0.285001
1011.0,0.514999,0.00700116,0.512002,1.024
1063.0,0.181995,0.00600052,0.192,0.225999
1024.0,0.401006,0.00599623,0.394001,0.710998
1031.0,0.356732,0.00600004,0.37881,0.806998
1051.0,0.297012,0.00700283,0.286016,0.327998
1024.0,0.252003,0.00599957,0.247217,0.246
1009.0,0.197003,0.00699568,0.195003,0.415003
1007.0,0.36204,0.00600123,0.354015,0.544002
1030.0,0.361015,0.006001,0.366051,0.374999
1038.0,0.314996,0.00600195,0.319998,0.311002
1132.0,0.208996,0.00700259,0.222997,0.322001
1114.0,0.316003,0.00699949,0.324004,0.286
1052.0,0.336999,0.00700068,0.340052,0.334997
1040.0,0.253998,0.00599837,0.263,0.263999
1017.0,0.294085,0.00499773,0.294209,0.311998
1072.0,0.413998,0.00600219,0.407999,0.683001
1066.0,0.304993,0.00600004,0.310028,0.322998
1063.0,0.257997,0.00500321,0.26807,0.613999
1048.0,0.233999,0.00699854,0.235,0.260999
1035.0,0.37113,0.00599051,0.378999,0.373998
1049.0,0.307851,0.00519133,0.322001,0.304
1047.0,0.435999,0.0070014,0.451325,0.427
